cd_nom;StN_2020;nom_scient_TaxRef_v15
23671;Anasimyia contracta Claussen & Torp,  1980;Anasimyia contracta Claussen & Torp, 1980
23672;Anasimyia interpuncta (Harris),  1776;Anasimyia interpuncta (Harris, 1778)
23673;Eurimyia lineata (Fabricius),  1787;Anasimyia lineata (Fabricius, 1787)
23674;Anasimyia lunulata (Meigen),  1822;Anasimyia lunulata (Meigen, 1822)
23675;Anasimyia transfuga (Linnaeus),  1758;Anasimyia transfuga (Linnaeus, 1758)
23168;Baccha elongata (Fabricius), 1775;Baccha elongata (Fabricius, 1775)
24414;Brachyopa bicolor (Fallen),  1817;Brachyopa bicolor (Fallén, 1817)
217371;Brachyopa dorsata Zetterstedt,  1837;Brachyopa dorsata Zetterstedt, 1837
24415;Brachyopa insensilis Collin,  1939;Brachyopa insensilis Collin, 1939
24418;Brachyopa pilosa Collin,  1939;Brachyopa pilosa Collin, 1939
24419;Brachyopa scutellaris Robineau-Desvoidy,  1843;Brachyopa scutellaris Robineau-Desvoidy in Desmarest, 1843
217372;Brachypalpoides lentus (Meigen),  1822;Brachypalpoides lentus (Meigen, 1822)
24526;Brachypalpus laphriformis  (Fallen),  1816;Brachypalpus laphriformis (Fallén, 1816)
24529;Brachypalpus valgus (Panzer),  1798;Brachypalpus valgus (Panzer, 1798)
24531;Caliprobola speciosa (Rossi),  1790;Caliprobola speciosa (Rossi, 1790)
24534;Callicera aurata (Rossi),  1790;Callicera aurata (Rossi, 1790)
24537;Callicera rufa Schummel,  1842;Callicera rufa Schummel, 1842
23683;Ceriana conopsoides (L.),  1758;Ceriana conopsoides (Linnaeus, 1758)
217377;Chalcosyrphus eunotus (Loew),  1873;Chalcosyrphus eunotus (Loew, 1873)
23664;Chalcosyrphus nemorum (Fabricius),  1805;Chalcosyrphus nemorum (Fabricius, 1805)
217379;Chalcosyrphus piger (Fabricius),  1794;Chalcosyrphus piger (Fabricius, 1794)
217380;Chalcosyrphus valgus (Gmelin),  1790;Chalcosyrphus valgus (Gmelin, 1790)
24334;Cheilosia albipila Meigen,  1838;Cheilosia albipila Meigen, 1838
24335;Cheilosia albitarsis (Meigen),  1822;Cheilosia albitarsis (Meigen, 1822)
24337;Cheilosia barbata Loew,  1857;Cheilosia barbata Loew, 1857
